event_date,event_time,Sport,Venue,Events
3rd_August_2021,3:00,Wrestling,Makuhari Messe Hall,"Men's Greco-Roman 77 kg Repechage, Women's Freestyle 68 kg Repechage, Men's Greco-Roman 97 kg Repechage, Men's Greco-Roman 67 kg 1/8 Finals, Women's Freestyle 62 kg 1/8 Finals, Men's Greco-Roman 87 kg 1/8 Finals, Men's Greco-Roman 67 kg 1/4 FinalsWomen's Freestyle 62 kg 1/4 Finals, Men's Greco-Roman 87 kg 1/4 Finals"
3rd_August_2021,5:00,Volleyball,Ariake Arena,Men's Quarterfinal
3rd_August_2021,5:15,Handball,Yoyogi National Stadium,Men's Quarterfinal
3rd_August_2021,5:40,Basketball,Saitama Super Arena,Men's Quarterfinal
3rd_August_2021,5:50,Weightlifting,Tokyo International Forum,Men's 109 kg Group B
3rd_August_2021,6:00,Water Polo,Tatsumi Water Polo Centre,Women's Quarterfinals (2 matches)
3rd_August_2021,6:30,Sailing,Enoshima Yacht Harbour,"Finn Men - Medal Race, Foiling Nacra 17 Mixed - Medal Race"
3rd_August_2021,7:00,Diving,Tokyo Aquatics Centre,Men's 3m Springboard Final
3rd_August_2021,7:30,Cycling Track,Izu Velodrome,"Women's Team Pursuit First round, Men's Team Sprint Qualifying, Men's Team Pursuit First round, Men's Team Sprint First round, Women's Team Pursuit Finals, Men's Team Sprint Finals"
3rd_August_2021,9:00,Artistic Gymnastics,Ariake Gymnastics Centre,"Men's Parallel Bars Final, Men's Parallel Bars Victory Ceremony, Women's Balance Beam Final, Women's Balance Beam Victory Ceremony, Men's Horizontal Bar Final"
3rd_August_2021,9:00,Handball,Yoyogi National Stadium,Men's Quarterfinal
3rd_August_2021,9:00,Boxing,Kokugikan Arena,"Women's Light (57-60kg) Quarterfinals, Men's Fly (48-52kg) Quarterfinals, Men's Feather (52-57kg) Semifinal, Men's Light (57-63kg) Quarterfinals, Men's Heavy (81-91kg) Semifinal, Men's Welter (63-69kg) Final"
3rd_August_2021,9:00,Football,Ibaraki Kashima Stadium,Men's Semifinal (2 matches)
3rd_August_2021,9:00,Sport Climbing,Aomi Urban Sports Park,"Men's Combined Qualification - Speed, Men's Combined Qualification - Bouldering, Men's Combined Qualification - Lead"
3rd_August_2021,9:00,Volleyball,Ariake Arena,Men's Quarterfinal
3rd_August_2021,9:20,Basketball,Saitama Super Arena,Men's Quarterfinal
3rd_August_2021,10:15,Wrestling.,Makuhari Messe Hall,"Men's Greco-Roman 67 kg SemifinalsMen's Greco-Roman 87 kg SemifinalsWomen's Freestyle 62 kg SemifinalsMen's Greco-Roman 77 kg Bronze Medal Matches, Men's Greco-Roman 77 kg Final, Men's Greco-Roman 97 kg Bronze Medal Matches, Men's Greco-Roman 97 kg Final, Men's Greco-Roman 77 kg Victory Ceremony, Women's Freestyle 68 kg Bronze Medal Matches, Women's Freestyle 68 kg Final"
3rd_August_2021,10:20,Water Polo,Tatsumi Water Polo Centre,Women's Quarterfinals (2 matches)
3rd_August_2021,11:00,Athletics,Olympic Stadium,"Women's Long Jump Victory Ceremony, Men's 110m Hurdles Round 1, Men's Shot Put Qualifying Round, Men's Pole Vault Final, Men's 400m Hurdles Victory Ceremony, Men's 5000m Round 1, Women's Hammer Throw Final, Men's 200m Semifinals, Women's 800m Final, Women's 200m Final"
3rd_August_2021,11:00,Hockey,Oi Hockey Stadium,Men's Semifinal
3rd_August_2021,11:00,Baseball,Yokohama Baseball Stadium,Baseball Knockout stage (#5)
3rd_August_2021,11:00,Equestrian,Equestrian Park,Jumping Individual Qualifier
3rd_August_2021,11:30,Artistic Swimming,Tokyo Aquatics Centre,Duet Technical Routine
3rd_August_2021,11:30,Tennis,Ariake Tennis Park,Women's Team Semifinals
3rd_August_2021,11:50,Weightlifting,Tokyo International Forum,Men's 109 kg Group A
3rd_August_2021,12:45,Handball,Yoyogi National Stadium,Men's Quarterfinal
3rd_August_2021,13:00,Basketball,Saitama Super Arena,Men's Quarterfinal
3rd_August_2021,13:00,Beach Volleyball,Shiokaze Park,Women's Quarterfinals (2 matches)
3rd_August_2021,13:30,Volleyball,Ariake Arena,Men's Quarterfinal
4th_August_2021,22:30,Marathon Swimming,Odaiba Marine Park,Women's 10km
4th_August_2021,23:30,Golf,Kasumigaseki Country Club,Women's Individual Stroke Play Round 1
4th_August_2021,1:00,Athletics,Olympic Stadium,"Men's Decathlon 100m, Men's Javelin Throw Qualifying Round, Women's Heptathlon 100m Hurdles, Men's Decathlon Long JumpMen's Pole Vault Victory Ceremony, Women's Heptathlon High Jump, Women's Hammer Throw Victory Ceremony, Women´s 800m Victory Ceremony, Men's 110m Hurdles Semifinals, Women's 400m Hurdles Final, Men's Decathlon Shot Put, Women's 400m Hurdles Victory Ceremony"
4th_August_2021,1:00,Skateboarding.,Ariake Urban Sports Park,"Women's Park Prelims Heats, Women's Park Final"
4th_August_2021,1:00,Beach Volleyball,Shiokaze Park,Men's Quarterfinals (2 matches)
4th_August_2021,1:00,Volleyball,Ariake Arena,Women's Quarterfinal (4 matches)
4th_August_2021,1:30,Canoe Sprint,Sea Forest Waterway,"Men's Kayak Single 200m Heats, Women's Canoe Single 200m Heats, Women's Kayak Single 500m Heats, Men's Kayak Double 1000m Heats, Men's Kayak Single 200m Quarterfinals, Women's Canoe Single 200m Quarterfinals, Women's Kayak Single 500m Quarterfinals, Men's Kayak Double 1000m Quarterfinals"
4th_August_2021,1:30,Handball,Yoyogi National Stadium,Women's Quarterfinal (4 matches)
4th_August_2021,2:00,Basketball,Saitama Super Arena,Women's Quarterfinal
4th_August_2021,2:00,Table Tennis,Tokyo Metropolitan Gymnasium,Women's Team Semifinals
4th_August_2021,2:30,Hockey,Oi Hockey Stadium,Women's Semifinal
4th_August_2021,3:00,Wrestling,Makuhari Messe Hall,"Men's Greco-Roman 67 kg Repechage, Women's Freestyle 62 kg Repechage, Men's Greco-Roman 87 kg Repechage, Men's Freestyle 57 kg 1/8 Finals, Women's Freestyle 57 kg 1/8 Finals, Men's Freestyle 86 kg 1/8 Finals, Men's Freestyle 57 kg 1/4 Finals, Women's Freestyle 57 kg 1/4 Finals, Men's Freestyle 86 kg 1/4 Finals"
4th_August_2021,4:00,Baseball,Yokohama Baseball Stadium,Baseball Knockout stage (#6)
4th_August_2021,5:40,Basketball,Saitama Super Arena,Women's Quarterfinal
4th_August_2021,5:50,Weightlifting,Tokyo International Forum,Men's +109 kg Group B
4th_August_2021,6:00,Boxing,Kokugikan Arena,"Women's Fly (48-51kg) Semifinals, Women's Welter (64-69kg) Semifinals, Men's Super Heavy (+91kg) Semifinals, Men's Light Heavy (75-81kg) Final"
4th_August_2021,6:00,Water Polo,Tatsumi Water Polo Centre,Men's Quarterfinals (2 matches)
4th_August_2021,6:30,Sailing,Enoshima Yacht Harbour,"470 Men - Medal Race, 470 Women - Medal Race"
4th_August_2021,6:30,Table Tennis,Tokyo Metropolitan Gymnasium,Men's Team Semifinals
4th_August_2021,7:00,Diving,Tokyo Aquatics Centre,Women's 10m Platform Preliminary
4th_August_2021,7:30,Cycling Track,Izu Velodrome,"Men's Sprint Qualifying, Women's Keirin First round, Men's Sprint 1/32 Finals, Women's Keirin Repechages, Men's Sprint 1/32 Finals Repechages, Men's Team Pursuit Finals, Men's Sprint 1/16 Finals, Men's Team Pursuit Victory Ceremony, Men's Sprint 1/16 Finals Repechages"
4th_August_2021,9:00,Sport Climbing,Aomi Urban Sports Park,"Women's Combined Qualification - Speed, Women's Combined Qualification - Bouldering, Women's Combined Qualification - Lead"
4th_August_2021,9:20,Basketball,Saitama Super Arena,Women's Quarterfinal
4th_August_2021,10:20,Water Polo,Tatsumi Water Polo Centre,Men's Quarterfinals (2 matches)
4th_August_2021,10:30,Athletics,Olympic Stadium,"Men's Decathlon High Jump, Women's 1500m Semifinals, Women's Heptathlon Shot Put, Women's 400m Semifinals, Women's 200m Victory Ceremony, Women's 3000m Steeplechase Final, Men's Hammer Throw Final, Women's Heptathlon 200m, Women's 3000m Steeplechase Victory Ceremony, Men's 800m Final, Men's Decathlon 400m, Men's 200m Final"
4th_August_2021,10:15,Wrestling,Makuhari Messe Hall,"Men's: Freestyle 57 kg Semifinals, Men´s Freestyle 86 kg Semifinals, Women's Freestyle 57 kg Semifinals, Men's Greco-Roman 67 kg Bronze Medal Matches, Men's Greco-Roman 67 kg Final, Men's Greco-Roman 87 kg Bronze Medal Matches, Men´s Greco-Roman 87 kg Final, Men's Greco-Roman 67 kg Victory Ceremony, Women's Freestyle 62 kg Bronze Medal Matches, Women's Freestyle 62 kg Final"
4th_August_2021,11:00,Baseball,Yokohama Baseball Stadium,Baseball Knockout stage (#7)
4th_August_2021,11:00,Equestrian,Equestrian Park,Jumping Individual Final
4th_August_2021,11:00,Hockey,Oi Hockey Stadium,Women's Semifinal
4th_August_2021,11:30,Table Tennis,Tokyo Metropolitan Gymnasium,Men's Team Semifinals
4th_August_2021,11:30,Artistic Swimming,Tokyo Aquatics Centre,Duet Free Routine Final
4th_August_2021,11:50,Weightlifting,Tokyo International Forum,Men's +109 kg Group A
4th_August_2021,13:00,Basketball,Saitama Super Arena,Women's Quarterfinal
4th_August_2021,13:00,Beach Volleyball,Shiokaze Park,Men's Quarterfinals (2 matches)
5th_August_2021,22:30,Marathon Swimming,Odaiba Marine Park,Men's 10km
5th_August_2021,23:30,Golf,Kasumigaseki Country Club,Women's Individual Stroke Play Round 2
5th_August_2021,1:00,Athletics,Olympic Stadium,"Men's Decathlon 110m Hurdles, Women's High Jump Qualifying Round, Men's Hammer Throw Victory Ceremony, Women's Heptathlon Long Jump, Men's Decathlon Discus Throw, Women's 4 x 100m Relay Round 1, Men's 800m Victory Ceremony, Men's 200m Victory Ceremony, Men's Triple Jump Final, Men's Shot Put Final, Men's 4 x 100m Relay Round 1, Men's 110m Hurdles Final, Men's Decathlon Pole Vault, Women's Heptathlon Javelin Throw"
5th_August_2021,1:00,Skateboarding,Ariake Urban Sports Park,"Men's Park Prelims Heats, Men's Park Final"
5th_August_2021,1:00,Beach Volleyball,Shiokaze Park,Men's or Women's Semifinals (2 matches)
5th_August_2021,1:30,Canoe Sprint,Sea Forest Waterway,"Men's Kayak Single 200m Semifinals, Women's Canoe Single 200m Semifinals, Women's Kayak Single 500m Semifinals, Men's Kayak Double 1000m Semifinals, Men's Kayak Single 200m Finals, Women's Canoe Single 200m Finals, Women's Kayak Single 500m Finals, Men's Kayak Double 1000m Finals"
5th_August_2021,2:00,Karate,Nippon Budokan,"Women's Kata Elimination Round, Women's Kata Ranking Round, Men's Kumite -67 kg Elimination Round"
5th_August_2021,2:00,Diving,Tokyo Aquatics Centre,Women's 10m Platform Semifinal
5th_August_2021,2:30,Hockey,Oi Hockey Stadium,Men's Bronze Medal Match
5th_August_2021,3:00,Table Tennis,Tokyo Metropolitan Gymnasium,Women's Team Bronze Medal Team Match
5th_August_2021,3:00,Wrestling,Makuhari Messe Hall,"Men's Freestyle 57 kg Repechage, Women's Freestyle 57 kg Repechage, Men's Freestyle 86 kg Repechage, Men's Freestyle 74 kg 1/8 Finals, Women's Freestyle 53 kg 1/8 Finals, Men's Freestyle 125 kg 1/8 Finals, Men's Freestyle 74 kg 1/4 Finals, Women's Freestyle 53 kg 1/4 Finals, Men's Freestyle 125 kg 1/4 Finals"
5th_August_2021,5:00,Modern Pentathlon,Musashino Forest Sport Plaza,"Women's Fencing Ranking Round, Men's Fencing Ranking Round"
5th_August_2021,5:00,volleyball,Ariake Arena,Men's Semifinal
5th_August_2021,5:15,Basketball,Saitama Super Arena,Men's Semifinal
5th_August_2021,6:00,Boxing.,Kokugikan Arena,"Women's Light (57-60kg) Semifinals, Men's Fly (48-52kg) Semifinals, Men's Middle (69-75kg) Semifinals, Men's Feather (52-57kg) Final"
5th_August_2021,6:00,Water Polo,Tatsumi Water Polo Centre,"Women's Classification match (5th-8th places), Women's Semifinal"
5th_August_2021,7:00,Diving,Tokyo Aquatics Centre,Women's 10m Platform Final
5th_August_2021,7:30,Cycling Track,Izu Velodrome,"Men's Omnium Scratch Race 1/4Men's Sprint 1/8 FinalsWomen's Keirin QuarterfinalsMen's Sprint 1/8 Finals RepechagesMen's Omnium Tempo Race 2/4, Men's Sprint Quarterfinals, Women's Keirin Semifinals, Men's Omnium Elimination Race 3/4, Women's Keirin Final 7-12, Women's Keirin Final 1-6, Men's Omnium Points Race 4/4, Men's Sprint Race for 5th-8th Places"
5th_August_2021,8:30,Athletics,Sapporo Odori Park,"Men's 20km Race Walk Final, Men's 20km Race Walk Venue Ceremony"
5th_August_2021,9:00,Football,Ibaraki Kashima Stadium,Women's Bronze Medal Match
5th_August_2021,9:00,Handball,Yoyogi National Stadium,Men's Semifinal
5th_August_2021,9:00,Karate,Nippon Budokan,"Women's Kumite -55 kg Elimination Round, Women's Kata Bronze Medal Bouts, Women's Kata Final Bout, Men's Kumite -67 kg Semifinals, Women's Kumite -55 kg Semifinals, Men's Kumite -67 kg Final, Women's Kumite -55 kg Final"
5th_August_2021,9:30,Sport Climbing,Aomi Urban Sports Park,"Men's Combined Final - Speed, Men's Combined Final - Bouldering, Men's Combined Final - Lead"
5th_August_2021,10:15,Wrestling,Makuhari Messe Hall,"Men's Freestyle 74 kg Semifinals, Men's Freestyle 125 kg Semifinals, Women's Freestyle 53 kg Semifinal, Men's Freestyle 57 kg Bronze Medal Matches, Men's Freestyle 57 kg Final, Men's Freestyle 86 kg Bronze Medal Matches, Men's Freestyle 86 kg Final, Women's Freestyle 57 kg Bronze Medal Matches, Women's Freestyle 57 kg Final"
5th_August_2021,10:20,Water Polo,Tatsumi Water Polo Centre,"Women's Classification match (5th-8th places), Women's Semifinal"
5th_August_2021,11:00,Athletics,Olympic Stadium,"Men's Shot Put Victory Ceremony, Men's Triple Jump Victory Ceremony, Men's Decathlon Javelin Throw, Women's Pole Vault Final, Women's 4 x 400m Relay Round 1, Men's 1500m Semifinals, Men's 110m Hurdles Victory Ceremony, Men's 400m Final, Women´s Heptathlon 800m, Men's Decathlon 1500m"
5th_August_2021,11:00,Hockey,Oi Hockey Stadium,Men's Gold Medal Match
5th_August_2021,11:00,Baseball,Yokohama Baseball Stadium,Baseball Semifinal(#8)
5th_August_2021,11:30,Table Tennis,Tokyo Metropolitan Gymnasium,Women's Team Gold Medal Team Match
5th_August_2021,12:00,Basketball,Saitama Super Arena,Men's Semifinal
5th_August_2021,13:00,Beach Volleyball,Shiokaze Park,Men's or Women's Semifinals (2 matches)
5th_August_2021,13:00,Handball,Yoyogi National Stadium,Men's Semifinal
5th_August_2021,13:00,Volleyball,Ariake Arena,Men's Semifinal
6th_August_2021,21:30,Athletics,Sapporo Odori Park,Men's 50km Race Walk Final
6th_August_2021,23:30,Golf,Kasumigaseki Country Club,Women's Individual Stroke Play Round 3
6th_August_2021,1:30,Canoe Sprint,Sea Forest Waterway,"Women's Canoe Double 500m Heats, Men's Canoe Single 1000m Heats, Women's Kayak Four 500m Heats, Men's Kayak Four 500m Heats, Women's Canoe Double 500m Quarterfinals, Men's Canoe Single 1000m Quarterfinals"
6th_August_2021,2:00,Beach Volleyball,Shiokaze Park,"Women's Bronze Medal Match, Women's Gold Medal Match"
6th_August_2021,2:00,Karate,Nippon Budokan,"Men's Kata Elimination Round, Men's Kata Ranking Round, Women's Kumite -61 kg Elimination Round"
6th_August_2021,2:20,Rhythmic Gymnastics,Ariake Gymnastics Centre,Individual All-Around Qualification
6th_August_2021,2:30,Hockey,Oi Hockey Stadium,Women's Bronze Medal Match
6th_August_2021,3:00,Football,Olympic Stadium,Women's Gold Medal Match
6th_August_2021,3:00,Wrestling,Makuhari Messe Hall,"Men's Freestyle 74 kg Repechage, Women's Freestyle 53 kg Repechage, Men's Freestyle 125 kg Repechage, Men's Freestyle 65 kg 1/8 Finals, Women's Freestyle 50 kg 1/8 Finals, Men's Freestyle 97 kg 1/8 Finals, Men's Freestyle 65 kg 1/4 Finals, Women's Freestyle 50 kg 1/4 Finals, Men's Freestyle 97 kg 1/4 Finals"
6th_August_2021,3:00,Table Tennis,Tokyo Metropolitan Gymnasium,Men's Team Bronze Medal Team Match
6th_August_2021,5:00,Volleyball,Ariake Arena,Women's Semifinal
6th_August_2021,5:40,Basketball,Saitama Super Arena,Women's Semifinal
6th_August_2021,6:00,Boxing,Kokugikan Arena,"Women's Middle (69-75kg) Semifinals, Men's Light (57-63kg) Semifinals, Men's Heavy (81-91kg) Final"
6th_August_2021,6:00,Water Polo,Tatsumi Water Polo Centre,"Men's Classification match (5th-8th places), Men's Semifinal"
6th_August_2021,6:30,Modern Pentathlon,Tokyo Stadium,"Women's Swimming, Women's Fencing Bonus Round, Women's Riding Show Jumping, Women's Laser Run"
6th_August_2021,6:50,Rhythmic Gymnastics,Ariake Gymnastics Centre,Individual All-Around Qualification
6th_August_2021,7:00,Diving,Tokyo Aquatics Centre,Men's 10m Platform Preliminary
6th_August_2021,7:30,Cycling Track,Izu Velodrome,"Women's Sprint Qualifying, Men's Sprint Semifinals, Women's Sprint 1/32 Finals, Women's Sprint 1/32 Finals Repechages, Women's Madison Final, Men's Sprint Finals, Women's Sprint 1/16 Finals, Women's Sprint 1/16 Finals Repechages"
6th_August_2021,8:30,Athletics,Sapporo Odori Park,Women's 20km Race Walk Final
6th_August_2021,9:00,Handball,Yoyogi National Stadium,Women's Semifinal
6th_August_2021,9:00,Karate,Nippon Budokan,"Men's Kumite -75 kg Elimination Round, Men's Kata Bronze Medal Bouts, Men's Kata Final Bout, Women's Kumite -61 kg Semifinals, Men's Kumite -75 kg Semifinals, Women's Kumite -61 kg Final, Men's Kumite -75 kg Final"
6th_August_2021,9:30,Sport Climbing,Aomi Urban Sports Park,"Women's Combined Final - Speed, Women's Combined Final - Bouldering, Women's Combined Final - Lead"
6th_August_2021,10:15,Wrestling,Makuhari Messe Hall,"Men's Freestyle 65 kg Semifinals, Men's Freestyle 97 kg Semifinals, Women's Freestyle 50 kg Semifinals, Men's Freestyle 74 kg Bronze Medal Matches, Men's Freestyle 74 kg Final, Men's Freestyle 125 kg Bronze Medal Matches, Men's Freestyle 125 kg Final, Men's Freestyle 74 kg Victory Ceremony, Women's Freestyle 53 kg Bronze Medal Matches, Women's Freestyle 53 kg Final"
6th_August_2021,10:20,Water Polo,Tatsumi Water Polo Centre,"Men's Classification match (5th-8th places), Men's Semifinal"
6th_August_2021,11:00,Equestrian,Equestrian Park,Jumping Team Qualifier
6th_August_2021,11:00,Hockey,Oi Hockey Stadium,Women's Gold Medal Match
6th_August_2021,11:30,Artistic Swimming,Tokyo Aquatics Centre,Team Technical Routine
6th_August_2021,11:30,Table Tennis,Tokyo Metropolitan Gymnasium,Men's Team Gold Medal Team Match
6th_August_2021,11:50,Athletics,Olympic Stadium,"Men's 4 x 400m Relay Round 1, Women's Javelin Throw Final ,Men's 5000m Final, Women's 400m Final, Women's 1500m Final, Women's 4 x 100m Relay Final, Men's 4 x 100m Relay Final"
6th_August_2021,12:00,Basketball,Saitama Super Arena,Women's Semifinal
6th_August_2021,12:00,Football,Saitama Stadium,Men's Bronze Medal Match
6th_August_2021,13:00,Handball,Yoyogi National Stadium,Women's Semifinal
6th_August_2021,13:00,Volleyball,Ariake Arena,Women's Semifinal
7th_August_2021,23:00,Athletics,Sapporo Odori Park,Women's Marathon Final
7th_August_2021,23:30,Golf,Kasumigaseki Country Club,Women's Individual Stroke Play Round 4
7th_August_2021,1:30,Canoe Sprint,Sea Forest Waterway,"Women's Canoe Double 500m Semifinals, Men's Canoe Single 1000m Semifinals, Women's Kayak Four 500m Semifinals, Men's Kayak Four 500m Semifinals, Women's Canoe Double 500m Finals, Men's Canoe Single 1000m Finals, Women's Canoe Double 500m Victory Ceremony, Women's Kayak Four 500m Final, Men's Canoe Single 1000m Victory Ceremony, Men's Kayak Four 500m Final"
7th_August_2021,1:30,Water Polo,Tatsumi Water Polo Centre,"Women's classification match (7th-8th places), Women's classification match (5th-6th places)"
7th_August_2021,2:00,Beach Volleybal,Shiokaze Park,"Men's Bronze Medal Match, Men's Gold Medal Match"
7th_August_2021,2:00,Rhythmic Gymnastics,Ariake Gymnastics Centre,Group All-Around Qualification
7th_August_2021,2:00,Diving,Tokyo Aquatics Centre,Men's 10m Platform Semifinal
7th_August_2021,3:30,Basketball,Saitama Super Arena,Men's Gold Medal Game
7th_August_2021,4:00,Baseball,Yokohama Baseball Stadium,Baseball Bronze Medal Game (#9)
7th_August_2021,5:30,Volleyball,Ariake Arena,Men's Bronze Medal Match
7th_August_2021,5:40,Water Polo,Tatsumi Water Polo Centre,Women's Bronze Medal Match
7th_August_2021,6:00,Boxing,Kokugikan Arena,"Men's Fly (48-52kg) Final, Women's Fly (48-51kg) Final, Men's Fly (48-52kg) Victory Ceremony, Men's Middle (69-75kg) Final, Women's Fly (48-51kg) Victory Ceremony, Women's Welter (64-69kg) Final"
7th_August_2021,6:00,Karate,Nippon Budokan,"Women's Kumite +61 kg Elimination Round, Men's Kumite +75 kg Elimination Round, Women's Kumite +61 kg Semifinals, Men's Kumite +75 kg Semifinals, Women's Kumite +61 kg Final, Men's Kumite +75 kg Final"
7th_August_2021,6:30,Modern Pentathlon,Tokyo Stadium,"Men's Swimming, Men's Fencing Bonus Round, Men's Riding Show Jumping, Men's Laser Run"
7th_August_2021,7:00,Diving,Tokyo Aquatics Centre,Men's 10m Platform Final
7th_August_2021,7:20,Rhythmic Gymnastics,Ariake Gymnastics Centre,Individual All-Around Final
7th_August_2021,7:30,Cycling Track,Izu Velodrome,"Women's Sprint 1/8 Finals, Men's Keirin First Round, Women's Sprint 1/8 Finals Repechages, Men's Keirin Repechages, Women's Sprint Quarterfinals, Men's Madison Final"
7th_August_2021,8:00,Basketball,Saitama Super Arena,Women's Bronze Medal Game
7th_August_2021,8:30,Water Polo,Tatsumi Water Polo Centre,Women's Gold Medal Match
7th_August_2021,9:00,Handball,Yoyogi National Stadium,Men's Bronze Medal Match
7th_August_2021,10:45,Wrestling,Makuhari Messe Hall,"Men's Freestyle 65 kg Repechage, Women's Freestyle 50 kg Repechage, Men's Freestyle 97 kg Repechage, Men's Freestyle 65 kg Bronze Medal Matches, Men's Freestyle 65 kg Final, Men's Freestyle 97 kg Bronze Medal Matches, Men's Freestyle 97 kg Final, Men's Freestyle 65 kg Victory Ceremony, Women's Freestyle 50 kg Bronze Medal Matches, Women's Freestyle 50 kg Final"
7th_August_2021,11:00,Athletics,Olympic Stadium,"Women's High Jump Final, Women's 10000m Final, Men's Javelin Throw Final, Women's Javelin Throw Victory Ceremony, Men's 1500m Final, Women's 10000m Victory Ceremony, Men's 1500m Victory Ceremony, Women's 4 x 400m Relay Final, Men's Javelin Throw Victory Ceremony, Men's 4 x 400m Relay Final"
7th_August_2021,11:00,Equestrian,Equestrian Park,Jumping Team Final
7th_August_2021,11:00,Baseball,Yokohama Baseball Stadium,Baseball Gold Medal Game (#10)
7th_August_2021,11:30,Artistic Swimming,Tokyo Aquatics Centre,Team Free Routine
7th_August_2021,12:00,Basketball,Saitama Super Arena,Men's Bronze Medal Game
7th_August_2021,12:30,Football,Olympic Stadium,Men's Gold Medal Match
7th_August_2021,13:00,Handball,Yoyogi National Stadium,Men's Gold Medal Match
7th_August_2021,13:15,Volleyball,Ariake Arena,Men's Gold Medal Match
8th_August_2021,23:00,Athletics,Sapporo Odori Park,Men's Marathon Final
8th_August_2021,1:00,Volleyball,Ariake Arena,Women's Bronze Medal Match
8th_August_2021,1:30,Water Polo,Tatsumi Water Polo Centre,"Men's classification match (7th-8th places), Men's classification match (5th-6th places)"
8th_August_2021,2:00,Cycling Track,Izu Velodrome,"Women's Omnium Scratch Race 1/4, Women's Sprint Semifinals, Men's Keirin Quarterfinals, Women's Omnium Tempo Race 2/4, Women's Sprint Race for 5th-8th Places, Men's Keirin Semifinals, Women's Sprint Finals, Women's Omnium Elimination Race 3/4, Men's Keirin Final 7-12Men's Keirin Final 1-6, Men's Keirin Victory Ceremony, Women's Omnium Points Race 4/4"
8th_August_2021,3:00,Handball,Yoyogi National Stadium,Women's Bronze Medal Match
8th_August_2021,3:00,Rhythmic Gymnastics,Ariake Gymnastics Centre,Group All-Around Final
8th_August_2021,3:30,Basketball,Saitama Super Arena,Women's Gold Medal Game
8th_August_2021,5:30,Volleyball,Ariake Arena,Women's Gold Medal Match
8th_August_2021,5:40,Water Polo,Tatsumi Water Polo Centre,Men's Bronze Medal Match
8th_August_2021,6:00,Boxing.,Kokugikan Arena,"Women's Light (57-60kg) Final, Men's Light (57-63kg) Final, Women's Light (57-60kg) Victory Ceremony, Women's Middle (69-75kg) Final, Men's Light (57-63kg) Victory Ceremony, Men's Super Heavy (+91kg) Final"
8th_August_2021,7:00,Handball,Yoyogi National Stadium,Women's Gold Medal Match
8th_August_2021,8:30,Water Polo,Tatsumi Water Polo Centre,Men's Gold Medal Match
8th_August_2021,12:00,Closing Ceremony,Olympic Stadium,-
